"","user_id","retweet_count","hashtags","links","mentions","user_favorites","user_statuses","user_location","rt_user_fav_count","rt_user_stat_count","rt_user_loc","rt_user_id"
"26630",318676945,7,0,FALSE,1,563,23898,"Jeffersonville, IN",0,290,NA,247723476
"26631",18805666,14,1,FALSE,1,9255,6924,NA,3,16075,NA,16193222
"26632",332329533,0,0,FALSE,0,7,3590,NA,NA,NA,NA,NA
"26633",275766357,12,1,FALSE,1,0,8,NA,0,2079,NA,297822295
"26634",189254142,9,0,FALSE,1,316,16776,"Caledonia,WI",567,28447,NA,22956220
"26635",41945079,0,0,FALSE,1,1,1906,NA,NA,NA,NA,NA
"26636",280707480,626,0,FALSE,2,31,6982,"Minnesota, United States",0,3221,NA,813286
"26637",53706258,12,0,FALSE,1,0,411,NA,0,1117,NA,342887079
"26638",101137093,0,0,FALSE,1,74,5889,NA,48,6619,NA,341155652
"26639",79328416,2,9,FALSE,1,8123,48390,NA,143,13274,NA,17918375
"26640",37661180,6,0,FALSE,1,0,891,NA,0,173,NA,188478027
"26641",58026269,0,0,FALSE,1,106,25477,"Bharat on my mind. . . .",8,4310,NA,246108164
"26642",319067695,0,0,FALSE,1,266,21250,NA,NA,NA,NA,NA
"26643",74968667,72,0,FALSE,1,1,178,NA,0,290,NA,247723476
"26644",282813874,1,0,FALSE,1,14,10097,NA,8,4841,NA,438040565
"26645",116039157,1,2,FALSE,1,38,8892,NA,17575,37143,NA,16492765
"26646",267953578,4,0,FALSE,1,106,6579,"A place in the woods",3,39109,NA,133327869
"26647",110596487,0,0,FALSE,0,3,301807,NA,NA,NA,NA,NA
"26648",28007919,0,0,FALSE,0,3,5054,NA,NA,NA,NA,NA
"26649",104753459,0,0,FALSE,0,60,1625,NA,NA,NA,NA,NA
"26650",129242098,58,0,FALSE,1,1,475,NA,9,477,NA,112047805
"26651",282695161,0,1,FALSE,0,27,22129,NA,NA,NA,NA,NA
"26652",27459734,0,0,FALSE,0,17,994,"New York",NA,NA,NA,NA
"26653",280707480,355,0,FALSE,2,31,6983,"Minnesota, United States",0,3221,NA,813286
"26654",74968667,8,0,FALSE,1,1,179,NA,0,290,NA,247723476
"26655",382548521,0,0,FALSE,0,0,1115,NA,NA,NA,NA,NA
"26656",395530298,5,0,FALSE,1,8,7527,NA,27,22129,NA,282695161
"26657",17918375,0,1,FALSE,1,143,13275,NA,NA,NA,NA,NA
"26658",16843350,0,0,FALSE,0,5,2075,NA,NA,NA,NA,NA
"26659",182974187,0,0,FALSE,1,23,1138,NA,0,2680,NA,61426538
"26660",488337385,0,1,FALSE,0,25,1724,NA,NA,NA,NA,NA
"26661",147238440,0,0,FALSE,1,9,28118,NA,NA,NA,NA,NA
"26662",251158179,1,1,FALSE,1,3,68,NA,0,59,NA,473649801
"26663",62206986,0,0,FALSE,1,0,1978,NA,NA,NA,NA,NA
"26664",271180465,0,0,FALSE,1,2,899,"chicago",NA,NA,NA,NA
"26665",420406208,0,0,FALSE,0,0,327,NA,NA,NA,NA,NA
"26666",53706258,5,0,FALSE,1,0,413,NA,0,1117,NA,342887079
"26667",17744717,0,0,FALSE,1,5,22576,NA,NA,NA,NA,NA
"26668",272464509,9,0,FALSE,1,64,1138,NA,0,290,NA,247723476
"26669",455839984,10,0,FALSE,1,9,2599,NA,0,290,NA,247723476
"26670",93150164,0,0,FALSE,1,18,3151,NA,NA,NA,NA,NA
"26671",19616790,0,0,FALSE,1,712,21925,NA,NA,NA,NA,NA
"26672",51994820,0,0,FALSE,2,4,1520,"Mumbai",NA,NA,NA,NA
"26673",26378761,11,0,FALSE,1,2,747,NA,0,290,NA,247723476
"26674",380923116,0,0,FALSE,1,8,485,NA,NA,NA,NA,NA
"26675",266488425,0,0,FALSE,0,9,172885,NA,NA,NA,NA,NA
"26676",262932041,0,0,FALSE,0,0,3024,NA,NA,NA,NA,NA
"26677",243050493,3,0,FALSE,1,11,8399,"Columbus, Ohio",182,11681,NA,415836996
"26678",382326152,0,2,FALSE,0,36,2579,NA,NA,NA,NA,NA
"26679",528916193,0,0,FALSE,1,0,10,NA,NA,NA,NA,NA
"26680",254443873,0,0,FALSE,1,15,11300,"Tacoma, WA",NA,NA,NA,NA
"26681",39919999,0,0,FALSE,1,33,4146,"USA",NA,NA,NA,NA
"26682",44014149,0,0,FALSE,1,22,21156,NA,NA,NA,NA,NA
"26683",58654863,5,2,FALSE,1,2,1307,NA,6,28292,NA,50434933
"26684",26666769,0,0,FALSE,1,13,63,NA,NA,NA,NA,NA
"26685",292977709,0,0,FALSE,0,2,2746,NA,NA,NA,NA,NA
"26686",79328416,4,6,FALSE,1,8123,48391,NA,285,15574,NA,53265271
"26687",44223170,0,0,FALSE,0,55,2681,"College Station & the Fallz",NA,NA,NA,NA
"26688",388986101,15,1,FALSE,1,984,19897,NA,3,16075,NA,16193222
"26689",366737145,0,0,FALSE,2,1,3296,"USA",10,63902,NA,329478794
"26690",180804649,0,0,FALSE,0,2,3015,"Houston, TX",NA,NA,NA,NA
"26691",408051296,0,0,FALSE,0,1,4232,NA,NA,NA,NA,NA
"26692",182142038,0,0,FALSE,1,24,134,NA,1,792,NA,330610085
"26693",53706258,8,0,FALSE,1,0,415,NA,0,1117,NA,342887079
"26694",22385017,11,1,FALSE,1,3,1325,NA,22,1504,"USA",19472606
"26695",362692361,26,1,FALSE,2,0,60,NA,3,14772,NA,16935292
"26696",191583349,72,0,FALSE,1,61223,46213,NA,0,290,NA,247723476
"26697",514445736,0,0,FALSE,1,2,39,NA,NA,NA,NA,NA
"26698",1180641,0,0,FALSE,1,18,9832,"San Francisco",NA,NA,NA,NA
"26699",50648768,20,0,FALSE,1,33,10092,"Millington, Michigan",2,13394,NA,61220477
"26700",14237548,2255,2,FALSE,1,369,4385,"Baltimore, Maryland",3,1093,NA,19697415
"26701",388225567,0,0,FALSE,0,0,8416,NA,NA,NA,NA,NA
"26702",122811521,6,1,FALSE,1,317,12711,"Paradise, USA",488,15514,NA,47453385
"26703",82336885,6,0,FALSE,1,4,4372,NA,27,22129,NA,282695161
"26704",354694798,12,0,FALSE,1,1,13441,NA,21,10162,NA,326255267
"26705",53706258,25,0,FALSE,1,0,416,NA,0,1117,NA,342887079
"26706",118107607,0,0,FALSE,0,0,38918,NA,NA,NA,NA,NA
"26707",350018443,1,0,FALSE,2,0,1340,NA,150,21684,NA,17766973
"26708",495527886,2,0,FALSE,2,6,1905,NA,8,4736,NA,50729420
"26709",381570117,0,2,FALSE,0,0,54579,"Your's TimeLine",NA,NA,NA,NA
"26710",424602208,0,0,FALSE,0,3,112846,NA,NA,NA,NA,NA
"26711",471537203,0,0,FALSE,0,0,9956,NA,NA,NA,NA,NA
"26712",22823425,4,3,FALSE,1,7,13394,NA,17,3294,NA,26068217
"26713",420406208,0,0,FALSE,0,0,328,NA,NA,NA,NA,NA
"26714",348661583,0,1,FALSE,1,188,13961,NA,NA,NA,NA,NA
"26715",16476358,0,0,FALSE,0,100,24828,NA,NA,NA,NA,NA
"26716",101108755,0,0,FALSE,0,88,4636,NA,NA,NA,NA,NA
"26717",10660172,13,0,FALSE,1,20,1246,"Houston",0,290,NA,247723476
"26718",424708531,0,0,FALSE,1,0,18,NA,NA,NA,NA,NA
"26719",116986127,93,0,FALSE,1,16,1914,"Minneapolis",378,7053,NA,33235771
"26720",400336200,0,2,FALSE,1,20,3033,"Tennessee",NA,NA,NA,NA
"26721",90961739,0,0,FALSE,0,42,21931,"Dublin",NA,NA,NA,NA
"26722",56415193,14,0,FALSE,1,2,1043,NA,0,290,NA,247723476
"26723",173698402,3,2,FALSE,1,46,30610,NA,1303,51813,NA,20449643
"26724",130506614,0,0,FALSE,0,67,13607,NA,NA,NA,NA,NA
"26725",20651855,16,0,FALSE,1,0,553,NA,0,290,NA,247723476
"26726",211890657,16,0,FALSE,1,3,159,NA,0,290,NA,247723476
"26727",16469463,16,1,FALSE,1,3762,155828,NA,3,16075,NA,16193222
"26728",82816310,0,0,FALSE,1,75,18993,NA,NA,NA,NA,NA
"26729",50648768,10,0,FALSE,1,33,10093,"Millington, Michigan",2,13394,NA,61220477
"26730",248485150,0,0,FALSE,0,1,650,NA,NA,NA,NA,NA
"26731",17851800,4,0,FALSE,1,3,1390,"COMO USA",14,3154,NA,488061169
"26732",271514942,0,0,FALSE,0,2,2980,NA,NA,NA,NA,NA
"26733",395078496,0,0,FALSE,0,0,13402,NA,NA,NA,NA,NA
"26734",16476358,0,0,FALSE,0,100,24829,NA,NA,NA,NA,NA
"26735",95544704,0,1,FALSE,0,0,54391,NA,NA,NA,NA,NA
"26736",364007210,0,1,FALSE,0,2,648,NA,NA,NA,NA,NA
"26737",353824384,0,0,FALSE,1,2,2976,"Baltimore",NA,NA,NA,NA
"26738",469904587,71,0,FALSE,1,0,1185,NA,7,5677,NA,69773058
"26739",107444645,0,0,FALSE,2,0,10619,NA,NA,NA,NA,NA
"26740",17739008,0,0,FALSE,2,296,52990,NA,11,7920,"Oklahoma City",21816539
"26741",53706258,4,0,FALSE,1,0,418,NA,0,1117,NA,342887079
"26742",37139591,1,0,FALSE,1,3206,35603,NA,0,115296,NA,396995779
"26743",58604120,5,0,FALSE,1,25,1790,NA,23,41256,"Raleigh NC",18419572
"26744",23201746,1,1,FALSE,1,44,545,NA,27,22129,NA,282695161
"26745",68241784,0,0,FALSE,0,75,2191,"In De'Marcus arms, virginia",NA,NA,NA,NA
"26746",19611642,1,0,FALSE,1,449,4968,NA,0,25410,NA,190917812
"26747",396995779,0,4,FALSE,0,0,115297,NA,NA,NA,NA,NA
"26748",523878378,18,0,FALSE,1,2,697,NA,0,290,NA,247723476
"26749",382018421,0,0,FALSE,0,0,1205,NA,NA,NA,NA,NA
"26750",70918926,0,0,FALSE,0,3,1819,NA,NA,NA,NA,NA
"26751",63247599,0,0,FALSE,0,0,554,NA,NA,NA,NA,NA
"26752",82488616,0,0,FALSE,0,3,18565,NA,NA,NA,NA,NA
"26753",286977106,0,0,FALSE,2,120,35119,NA,NA,NA,NA,NA
"26754",17205449,2,2,FALSE,1,5,18857,NA,17576,37143,NA,16492765
"26755",18750762,0,2,FALSE,0,5,11366,NA,NA,NA,NA,NA
"26756",498617937,0,0,FALSE,0,0,43,NA,NA,NA,NA,NA
"26757",179302942,0,0,FALSE,0,103,24464,"San Diego, California...USA",NA,NA,NA,NA
"26758",341503866,12,1,FALSE,1,9,190,NA,3,1131,NA,273748204
"26759",41518874,6,0,FALSE,2,10,3257,NA,66,5536,NA,431648942
"26760",33824237,19,0,FALSE,1,3,331,NA,0,290,NA,247723476
"26761",103981129,0,0,FALSE,0,0,45,NA,NA,NA,NA,NA
"26762",431633811,0,7,FALSE,1,380,6478,NA,NA,NA,NA,NA
"26763",183725927,0,0,FALSE,1,12,7637,NA,0,5583,NA,157862687
"26764",19309368,0,0,FALSE,0,0,24321,NA,NA,NA,NA,NA
"26765",323632911,0,0,FALSE,1,120,2367,NA,2,2746,NA,292977709
"26766",53706258,2,0,FALSE,1,0,419,NA,0,1117,NA,342887079
"26767",236213546,0,0,FALSE,0,31,788,NA,NA,NA,NA,NA
"26768",65596740,0,5,FALSE,1,16,23316,NA,NA,NA,NA,NA
